"cohort","id","trueHRD","CNA","ASCN","SNV","SNV+CNA","SNV+ASCN"
"TCGA","TCGA-3C-AAAU-01","0",0.002,0.004,0.008,0.008,0.008
"TCGA","TCGA-3C-AALI-01","0",0.008,0.012,0.032,0.04,0.016
"TCGA","TCGA-3C-AALJ-01","0",0.008,0.02,0.024,0.02,0.012
"TCGA","TCGA-3C-AALK-01","0",0,0,0,0.002,0
"TCGA","TCGA-4H-AAAK-01","0",0.002,0.002,0,0.004,0
"TCGA","TCGA-5L-AAT0-01","0",0.002,0,0.07,0.04,0.024
"TCGA","TCGA-5L-AAT1-01","0",0.002,0.008,0.062,0.072,0.068
"TCGA","TCGA-5T-A9QA-01","0",0.018,0,0.006,0.012,0.002
"TCGA","TCGA-A1-A0SB-01","0",0.008,0,0.006,0.006,0
"TCGA","TCGA-A1-A0SD-01",NA,0.008,0.012,0.002,0.004,0.018
"TCGA","TCGA-A1-A0SE-01","0",0.004,0.004,0.012,0.002,0.002
"TCGA","TCGA-A1-A0SF-01","0",0.028,0.018,0.002,0.004,0.002
"TCGA","TCGA-A1-A0SG-01","0",0.002,0.004,0,0,0.004
"TCGA","TCGA-A1-A0SH-01",NA,0.008,0.078,0.08,0.028,0.05
"TCGA","TCGA-A1-A0SI-01","1",0.626,0.662,0.668,0.656,0.67
"TCGA","TCGA-A1-A0SJ-01","0",0.008,0.018,0.014,0.044,0.012
"TCGA","TCGA-A1-A0SK-01","0",0.004,0.002,0.15,0.078,0.038
"TCGA","TCGA-A1-A0SM-01","0",0,0.012,0,0.002,0.002
"TCGA","TCGA-A1-A0SN-01","0",0.208,0.058,0.016,0.124,0.074
"TCGA","TCGA-A1-A0SO-01","1",0.898,0.908,0.792,0.792,0.768
"TCGA","TCGA-A1-A0SP-01","0",0.008,0.01,0.05,0.078,0.036
"TCGA","TCGA-A2-A04N-01","0",0,0,0,0,0
"TCGA","TCGA-A2-A04P-01",NA,0.976,0.91,0.598,0.884,0.874
"TCGA","TCGA-A2-A04Q-01",NA,0.028,0.096,0.176,0.098,0.146
"TCGA","TCGA-A2-A04R-01","0",0.03,0.024,0.106,0.062,0.034
"TCGA","TCGA-A2-A04T-01",NA,0.874,0.906,0.908,0.892,0.934
"TCGA","TCGA-A2-A04U-01",NA,0.514,0.362,0.28,0.4,0.398
"TCGA","TCGA-A2-A04V-01","0",0,0.01,0.026,0.018,0.02
"TCGA","TCGA-A2-A04W-01",NA,0.002,0,0.01,0.026,0.014
"TCGA","TCGA-A2-A04X-01",NA,0.044,0.02,0.006,0.012,0.018
"TCGA","TCGA-A2-A04Y-01","0",0.002,0.004,0.026,0.006,0.008
"TCGA","TCGA-A2-A0CK-01","0",0,0.008,0,0.002,0.004
"TCGA","TCGA-A2-A0CL-01",NA,0.012,0.266,0.016,0.198,0.34
"TCGA","TCGA-A2-A0CM-01",NA,0.266,0.198,0.12,0.252,0.226
"TCGA","TCGA-A2-A0CP-01","0",0,0.002,0.004,0,0.004
"TCGA","TCGA-A2-A0CQ-01","0",0,0,0.018,0.016,0.004
"TCGA","TCGA-A2-A0CR-01","0",0,0,0.036,0.036,0.008
"TCGA","TCGA-A2-A0CS-01","0",0.006,0,0.006,0,0
"TCGA","TCGA-A2-A0CT-01","0",0,0.002,0.03,0.014,0.004
"TCGA","TCGA-A2-A0CU-01",NA,0.002,0,0.23,0.094,0.014
"TCGA","TCGA-A2-A0CV-01",NA,0.126,0.164,0,0.114,0.08
"TCGA","TCGA-A2-A0CW-01",NA,0.004,0.076,0.114,0.126,0.092
"TCGA","TCGA-A2-A0CX-01",NA,0.082,0.016,0.01,0.022,0.08
"TCGA","TCGA-A2-A0D0-01",NA,0.93,0.928,0.852,0.91,0.896
"TCGA","TCGA-A2-A0D1-01",NA,0.018,0.004,0.22,0.068,0.018
"TCGA","TCGA-A2-A0D2-01","1",0.774,0.878,0.894,0.86,0.886
"TCGA","TCGA-A2-A0D3-01","0",0.002,0.006,0.002,0,0
"TCGA","TCGA-A2-A0D4-01","0",0.014,0.004,0.018,0.014,0.026
"TCGA","TCGA-A2-A0EM-01","0",0.004,0,0,0,0
"TCGA","TCGA-A2-A0EN-01","0",0,0,0.002,0.002,0.004
"TCGA","TCGA-A2-A0EO-01","0",0.004,0,0.006,0.002,0
"TCGA","TCGA-A2-A0EQ-01",NA,0.008,0.012,0.17,0.136,0.162
"TCGA","TCGA-A2-A0ER-01","0",0.004,0.054,0,0,0.006
"TCGA","TCGA-A2-A0ES-01","0",0,0.008,0.01,0.004,0.006
"TCGA","TCGA-A2-A0ET-01","0",0.006,0.032,0.006,0.01,0.014
"TCGA","TCGA-A2-A0EU-01","0",0.01,0,0.002,0.002,0
"TCGA","TCGA-A2-A0EV-01",NA,0.01,0.006,0,0.002,0.002
"TCGA","TCGA-A2-A0EW-01","0",0.072,0.016,0,0.02,0.014
"TCGA","TCGA-A2-A0EX-01","0",0.002,0.004,0,0.004,0.006
