"cohort","id","trueHRD","CNA","ASCN","SNV","SNV+CNA","SNV+ASCN"
"TCGA","TCGA-3C-AAAU-01","0",0,0,0,0.006,0.008
"TCGA","TCGA-3C-AALI-01","0",0.006,0.016,0.11,0.098,0.08
"TCGA","TCGA-3C-AALJ-01","0",0.02,0.032,0.004,0.004,0.014
"TCGA","TCGA-3C-AALK-01","0",0,0.002,0,0,0
"TCGA","TCGA-4H-AAAK-01","0",0.014,0.002,0,0,0
"TCGA","TCGA-5L-AAT0-01","0",0.002,0,0.048,0.036,0.02
"TCGA","TCGA-5L-AAT1-01","0",0.004,0.008,0.08,0.112,0.09
"TCGA","TCGA-5T-A9QA-01","0",0.016,0.004,0,0.004,0.002
"TCGA","TCGA-A1-A0SB-01","0",0.004,0.006,0,0.004,0
"TCGA","TCGA-A1-A0SD-01",NA,0,0.006,0.002,0,0
"TCGA","TCGA-A1-A0SE-01","0",0.002,0.002,0,0,0
"TCGA","TCGA-A1-A0SF-01","0",0.002,0,0.004,0.004,0
"TCGA","TCGA-A1-A0SG-01","0",0,0,0,0.002,0
"TCGA","TCGA-A1-A0SH-01",NA,0.024,0.078,0.22,0.158,0.118
"TCGA","TCGA-A1-A0SI-01","1",0.626,0.628,0.652,0.616,0.59
"TCGA","TCGA-A1-A0SJ-01","0",0.038,0.026,0.006,0.026,0.026
"TCGA","TCGA-A1-A0SK-01","0",0.01,0.002,0.14,0.09,0.048
"TCGA","TCGA-A1-A0SM-01","0",0.012,0.018,0,0,0
"TCGA","TCGA-A1-A0SN-01","0",0.226,0.098,0.02,0.15,0.07
"TCGA","TCGA-A1-A0SO-01","1",0.768,0.852,0.732,0.75,0.75
"TCGA","TCGA-A1-A0SP-01","0",0.02,0.012,0.01,0.03,0.02
"TCGA","TCGA-A2-A04N-01","0",0,0,0,0.006,0.002
"TCGA","TCGA-A2-A04P-01",NA,0.892,0.732,0.762,0.696,0.662
"TCGA","TCGA-A2-A04Q-01",NA,0.026,0.09,0.05,0.04,0.036
"TCGA","TCGA-A2-A04R-01","0",0.056,0.052,0.128,0.072,0.052
"TCGA","TCGA-A2-A04T-01",NA,0.666,0.93,0.92,0.678,0.876
"TCGA","TCGA-A2-A04U-01",NA,0.456,0.284,0.03,0.238,0.218
"TCGA","TCGA-A2-A04V-01","0",0,0.006,0.006,0.01,0.026
